Date,predicted_anomaly,enso_el_nino_probability,enso_neutral_probability,enso_la_nina_probability,enso_forecast_confidence
1951-04-01,-0.10395640351733498,0.04654014634539974,0.8321642508959455,0.12129560275865478,0.8321642508959455
1951-05-01,0.25847721215563,0.2301235091801279,0.7478316680964312,0.022044822723440854,0.7478316680964312
1951-06-01,0.050090294929555634,0.09538841528935886,0.8445504270657952,0.06006115764484596,0.8445504270657952
1951-07-01,0.5622064409268229,0.5771371905587244,0.4179502337142087,0.004912575727066936,0.5771371905587244
1951-08-01,0.06699012656919467,0.10293326726306608,0.8416022608716078,0.05546447186532608,0.8416022608716078
1951-09-01,0.6475791714271881,0.6765355668745399,0.32025323838829495,0.0032111947371651693,0.6765355668745399
1951-10-01,0.45521471329114327,0.44425114860708215,0.5473902759724456,0.00835857542047222,0.5473902759724456
1951-11-01,0.6337768603849468,0.6612532907411843,0.3353068684068541,0.003439840851961744,0.6612532907411843
1951-12-01,0.25841376132904537,0.23006730713123477,0.7478810294743162,0.022051663394449,0.7478810294743162
1952-01-01,0.0717775388957784,0.10516466996263184,0.8406116149076497,0.05422371512971841,0.8406116149076497
1952-02-01,-0.08235243453340374,0.05157517034217741,0.8381795202024812,0.11024530945534135,0.8381795202024812
1952-03-01,-0.2405644927213432,0.024060655952775938,0.7612989278697196,0.21464041617750443,0.7612989278697196
1952-04-01,-0.07895182103720344,0.05241324813005527,0.8389982752984049,0.10858847657153992,0.8389982752984049
1952-05-01,-0.36645422199006483,0.01296731607167452,0.6480271172410803,0.3390055666872452,0.6480271172410803
1952-06-01,-0.7704463948954025,0.0017398205378173544,0.203765890299052,0.7944942891631306,0.7944942891631306
1952-07-01,-0.9008339192536444,0.0009072638265621385,0.11785857195936378,0.8812341642140741,0.8812341642140741
1952-08-01,-0.5286661947711726,0.005804323501047525,0.45842415223499966,0.5357715242639528,0.5357715242639528
1952-09-01,-0.299628853037732,0.01801901659665821,0.7134042651588619,0.26857671824447993,0.7134042651588619
1952-10-01,-0.4961379487271296,0.006822457190295327,0.49800495689546387,0.49517258591424085,0.49800495689546387
1952-11-01,-0.8212130246916655,0.0013503163882206746,0.16578531999246993,0.8328643636193094,0.8328643636193094
1952-12-01,-0.07026512936545184,0.05461283328536694,0.8409320019205209,0.10445516479411227,0.8409320019205209
1953-01-01,0.36192455724578343,0.3339491654206156,0.6527904183755465,0.013260416203837885,0.6527904183755465
1953-02-01,0.30669920464077305,0.2755778819349378,0.7070180845326537,0.017404033532408457,0.7070180845326537
1953-03-01,0.30748061975923247,0.2763585533754831,0.7063041026813841,0.017337343943132823,0.7063041026813841
1953-04-01,0.077597384236686,0.10793468485725523,0.8393146977237315,0.05275061741901337,0.8393146977237315
1953-05-01,0.4329191240402094,0.4169262382739646,0.5737386688992383,0.009335092826797084,0.5737386688992383
1953-06-01,0.36394421774128893,0.33619905532788075,0.6506720130940237,0.013128931578095606,0.6506720130940237
1953-07-01,-0.06831259235745973,0.055119080597610226,0.8413354777898465,0.10354544161254316,0.8413354777898465
1953-08-01,0.02060506544498303,0.08340368392657042,0.8476523470296794,0.06894396904375003,0.8476523470296794
1953-09-01,0.3388282196646569,0.30877363996741003,0.6763668046847142,0.014859555347875713,0.6763668046847142
1953-10-01,0.06932975957047995,0.10401848092741732,0.8411267152181171,0.05485480385446557,0.8411267152181171
1953-11-01,0.16909281585503375,0.16049684889649177,0.8054591379616374,0.03404401314187092,0.8054591379616374
1953-12-01,0.3938828012100265,0.3703802246206329,0.6182954585234808,0.011324316855886429,0.6182954585234808
1954-01-01,0.18089781073613045,0.16860995748772503,0.7992345776469372,0.03215546486533777,0.7992345776469372
1954-02-01,0.1388164074245263,0.14113220092250398,0.8194787645048816,0.039389034572614404,0.8194787645048816
1954-03-01,-0.6795561249957786,0.0027380141220876447,0.2867687789412746,0.7104932069366378,0.7104932069366378
1954-04-01,-1.5385515555564238,3.7439089799066056e-05,0.005488516671227295,0.9944740442389737,0.9944740442389737
1954-05-01,-0.7900757475091621,0.0015774314576793812,0.18836585332498912,0.8100567152173315,0.8100567152173315
1954-06-01,-1.132185855715911,0.00028551533010317805,0.0403772722333694,0.9593372124365275,0.9593372124365275
1954-07-01,-1.183860157562239,0.00022052018345727754,0.03147716204699735,0.9683023177695453,0.9683023177695453
1954-08-01,-1.4750833802240382,5.142077299810665e-05,0.00752268611420237,0.9924258931127995,0.9924258931127995
1954-09-01,-1.5544156701122798,3.4584223939579845e-05,0.005072134785891302,0.9948932809901692,0.9948932809901692
1954-10-01,-1.3650990306805288,8.911487659704231e-05,0.012965214600596742,0.9869456705228062,0.9869456705228062
1954-11-01,-0.9231676259192365,0.0008114807119071353,0.10675546187972917,0.8924330574083637,0.8924330574083637
1954-12-01,-1.3249385168606673,0.00010893038814497957,0.015802274134095073,0.98408879547776,0.98408879547776
1955-01-01,-0.4663104073848555,0.007911051705837866,0.5341016444833482,0.45798730381081393,0.5341016444833482
1955-02-01,-0.9928474688597947,0.0005728936834691603,0.07783072038598993,0.9215963859305409,0.9215963859305409
1955-03-01,-1.0477862741052673,0.00043534714421263553,0.06027946993663824,0.9392851829191491,0.9392851829191491
1955-04-01,-1.1647680953746902,0.00024260326344912778,0.034519711807601494,0.9652376849289493,0.9652376849289493
1955-05-01,-1.3338723748983952,0.0001041721173738838,0.015122514718469815,0.9847733131641563,0.9847733131641563
1955-06-01,-1.230709918327578,0.00017447587417887203,0.025070732047391964,0.9747547920784292,0.9747547920784292
1955-07-01,-1.1714716847296722,0.00023460834304718883,0.03342041950253671,0.9663449721544161,0.9663449721544161
1955-08-01,-1.4153962058505694,6.930106161847133e-05,0.010111878626638204,0.9898188203117433,0.9898188203117433
1955-09-01,-1.4948271700567004,4.658730687114119e-05,0.006820422327647235,0.9931329903654816,0.9931329903654816
1955-10-01,-2.5951960596508297,1.900496490173787e-07,2.8015028959549326e-05,0.9999717949213914,0.9999717949213914
1955-11-01,-2.238628145741198,1.1301707178843676e-06,0.0001665740959763129,0.9998322957333058,0.9998322957333058
1955-12-01,-1.6782220572833413,1.8622707113124533e-05,0.002737665435937453,0.9972437118569494,0.9972437118569494
1956-01-01,-0.7461777322566109,0.001963838248987666,0.2240620888206999,0.7739740729303124,0.7739740729303124
1956-02-01,-0.8838263218871305,0.0009877115965643342,0.12697072284547672,0.872041565557959,0.872041565557959
1956-03-01,-0.638493357103829,0.003359939261676669,0.3301246101115526,0.6665154506267708,0.6665154506267708
1956-04-01,-0.9482104938148649,0.0007160441222281502,0.09540801575115954,0.9038759401266123,0.9038759401266123
1956-05-01,-0.7636551806939692,0.0017998043230846603,0.20930547690283297,0.7888947187740823,0.7888947187740823
1956-06-01,-0.994840020027057,0.0005672176424857509,0.07711953960147477,0.9223132427560394,0.9223132427560394
1956-07-01,-1.1359337793128215,0.0002802161881935455,0.03965781132382584,0.9600619724879806,0.9600619724879806
1956-08-01,-1.2657320770839722,0.00014645287567206463,0.021129747448965897,0.978723799675362,0.978723799675362
1956-09-01,-0.8893888625139166,0.0009606451965747678,0.12392628702809205,0.8751130677753332,0.8751130677753332
1956-10-01,-0.9538213077456342,0.000696249120205424,0.09301781879849891,0.9062859320812957,0.9062859320812957
1956-11-01,-1.0276965550421442,0.0004813267436124244,0.06622109887694294,0.9332975743794446,0.9332975743794446
1956-12-01,-0.7191190130942446,0.002247705634599181,0.24831845034004552,0.7494338440253553,0.7494338440253553
